"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-01",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","0.0",",,7,",,,"6.1",",,7","-3.3",",,7","0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,"    1",",,7",,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-02",,,,,,,,,"8.6",",,7,0730","0.0",",,7,","0.0",",,7,",,,"8.9",",,7","0.6",",,7","8.9",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-03",,,,,,,,,"2.3",",,7,0730","0.0","T,,7,","0.0",",,7,",,,"13.9",",,7","1.1",",,7","1.1",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-04",,,,,,,,,"0.5",",,7,0730","5.0",",,7,0730","0.0","T,,7,0730",,,"1.7",",,7","-2.8",",,7","-2.8",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-05",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"1.1",",,7","-6.7",",,7","-6.7",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-06",,,,,,,,,"0.0","T,,7,0730","3.0",",,7,0730","0.0",",,7,0730",,,"0.0",",,7","-6.7",",,7","-2.8",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-07",,,,,,,,,"0.5",",,7,0730","5.0",",,7,0730","0.0","T,,7,0730",,,"1.1",",,7","-5.0",",,7","-4.4",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-08",,,,,,,,,"0.0","T,,7,0730","3.0",",,7,0730","0.0","T,,7,0730",,,"1.1",",,7","-7.2",",,7","-7.2",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-09",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730",,,"-0.6",",,7","-12.8",",,7","-12.8",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-10",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"2.8",",,7","-12.8",",,7","-5.0",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-11",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"-2.2",",,7","-5.0",",,7","-3.3",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-12",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730",,,"0.6",",,7","-7.8",",,7","-3.9",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-13",,,,,,,,,"2.0",",,7,0730","3.0",",,7,0730","0.0",",,7,0730",,,"4.4",",,7","-3.9",",,7","-1.1",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-14",,,,,,,,,"3.6",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"4.4",",,7","-2.2",",,7","1.7",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-15",,,,,,,,,"0.0","T,,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"7.8",",,7","-1.1",",,7","0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-16",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"4.4",",,7","-1.7",",,7","-1.7",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-17",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"7.2",",,7","-1.7",",,7","0.0",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-18",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"4.4",",,7","-7.8",",,7","-5.6",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-19",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"2.8",",,7","-6.1",",,7","-3.3",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-20",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"7.2",",,7","-3.3",",,7","0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-21",,,,,,,,,"14.7",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"6.1",",,7","0.6",",,7","3.3",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-22",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730",,,"4.4",",,7","-1.1",",,7","-1.1",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-23",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730",,,"0.6",",,7","-1.1",",,7","-0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-24",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0","T,,7,0730",,,"2.2",",,7","-0.6",",,7","-0.6",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-25",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730",,,"0.0",",,7","-7.2",",,7","-6.7",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-26",,,,,,,,,"0.3",",,7,0730","5.0",",,7,0730","0.0","T,,7,0730",,,"0.0",",,7","-6.7",",,7","-2.8",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-27",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"9.4",",,7","-3.9",",,7","1.7",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-28",,,,,,,,,"6.9",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"10.6",",,7","1.7",",,7","10.0",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-29",,,,,,,,,"1.0",",,7,0730","13.0",",,7,0730","25.0",",,7,0730",,,"12.2",",,7","-1.1",",,7","-1.1",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-30",,,,,,,,,"1.8",",,7,0730","23.0",",,7,0730","25.0",",,7,0730",,,"-0.6",",,7","-3.3",",,7","-3.3",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-12-31",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0","T,,7,0730",,,"2.2",",,7","-3.9",",,7","-0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-01",,,,,,,,,"21.3",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"8.9",",,7","-0.6",",,7","1.1",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-02",,,,,,,,,"0.5",",,7,0730","3.0",",,7,0730","0.0","T,,7,0730",,,"2.2",",,7","-3.9",",,7","-3.3",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-03",,,,,,,,,"1.0",",,7,0730","8.0",",,7,0730","0.0","T,,7,0730",,,"0.6",",,7","-3.3",",,7","-1.7",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-04",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"3.3",",,7","-1.7",",,7","-1.7",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-05",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"10.6",",,7","-3.9",",,7","-2.2",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-06",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"10.6",",,7","-2.8",",,7","1.1",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-07",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0","T,,7,0730",,,"6.7",",,7","-1.1",",,7","0.0",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,"    1",",,7",,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-08",,,,,,,,,"2.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"11.7",",,7","0.0",",,7","3.9",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,"    1",",,7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-09",,,,,,,,,"3.0",",,7,0730","5.0",",,7,0730","0.0","T,,7,0730",,,"10.0",",,7","-3.3",",,7","-3.3",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-10",,,,,,,,,"0.5",",,7,0730","13.0",",,7,0730","0.0","T,,7,0730",,,"-3.3",",,7","-6.1",",,7","-5.6",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-11",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0","T,,7,0730",,,"-2.2",",,7","-11.1",",,7","-10.6",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-12",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0","T,,7,0730",,,"-0.6",",,7","-11.1",",,7","-3.3",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-13",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730",,,"-0.6",",,7","-6.1",",,7","-6.1",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-14",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","0.0",",,7,0730",,,"1.1",",,7","-12.8",",,7","-12.2",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-15",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730",,,"2.2",",,7","-12.8",",,7","-3.9",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-16",,,,,,,,,"0.5",",,7,0730","0.0","T,,7,0730","0.0","T,,7,0730",,,"-0.6",",,7","-4.4",",,7","-0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-17",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,0730","0.0",",,7,0730",,,"0.6",",,7","-8.9",",,7","-5.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-18",,,,,,,,,"0.8",",,7,0730","8.0",",,7,0730","0.0","T,,7,0730",,,"-0.6",",,7","-5.6",",,7","-1.1",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-19",,,,,,,,,"4.3",",,7,0730","46.0",",,7,0730","51.0",",,7,0730",,,"-0.6",",,7","-6.7",",,7","-6.7",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-20",,,,,,,,,"7.1",",,7,0730","119.0",",,7,0730","127.0",",,7,0730",,,"-6.1",",,7","-17.8",",,7","-17.8",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-21",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","127.0",",,7,0730",,,"-10.6",",,7","-22.2",",,7","-22.2",",,7,0730",,,,,"10.2",",,7",,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-22",,,,,,,,,"0.0",",,7,0730","0.0",",,7,0730","127.0",",,7,0730",,,"-7.8",",,7","-22.2",",,7","-11.7",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,"    1",",,7",,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019-01-23",,,,,,,,,"13.5",",,7,0730","3.0",",,7,0730","76.0",",,7,0730",,,"0.6",",,7","-11.7",",,7","0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,"    1",",,7",,,"    1",",,7",,,,
